"id","code","description","type","active"
1,"01","UPS Letter","package",TRUE
2,"02","Customer Supplied Package","package",TRUE
3,"03","Tube","package",TRUE
4,"04","PAK","package",TRUE
5,"21","UPS Express Box","package",TRUE
6,"24","UPS 25KG Box","package",TRUE
7,"25","UPS 10KG Box","package",TRUE
8,"30","Pallet","package",TRUE
9,"2a","Small Express Box","package",TRUE
10,"2b","Medium Express Box","package",TRUE
11,"2c","Large Express Box","package",TRUE
12,"01","Next Day Air","service",TRUE
13,"02","2nd Day Air","service",TRUE
14,"03","Ground","service",TRUE
15,"07","Express","service",TRUE
16,"08","Expedited","service",TRUE
17,"11","UPS Standard","service",TRUE
18,"12","3 Day Select","service",TRUE
19,"13","Next Day Air Saver","service",TRUE
20,"14","Next Day Air Early AM","service",TRUE
21,"54","Express Plus","service",TRUE
22,"59","2nd Day Air A.M.","service",TRUE
23,"65","UPS Saver","service",TRUE
24,"82","UPS Today Standard","service",TRUE
25,"83","UPS Today Dedicated Courier","service",TRUE
26,"84","UPS Today Intercity","service",TRUE
27,"85","UPS Today Express","service",TRUE
28,"86","UPS Today Express Saver","service",TRUE
